settings,model,acc,roc,f1,precision,recall,specificity
Eye,LSTM_median,0.79±0.04,0.78±0.04,0.76±0.05,0.8±0.04,0.75±0.07,0.81±0.06
Eye_Reading,LSTM_median,0.82±0.05,0.82±0.05,0.79±0.06,0.79±0.09,0.81±0.05,0.83±0.07
