,clf,strategy,mae
0,Dummy,all,64.95719083604777
1,Dummy,avg,64.72953092663226
2,Dummy,both_eyes,65.07102079075551
3,Dummy,left,65.1465778294774
4,Dummy,right,64.99546375203366
5,LinearReg,all,57.34284470055875
6,LinearReg,avg,57.50301148179167
7,LinearReg,both_eyes,57.44078318328818
8,LinearReg,left,59.47238200184919
9,LinearReg,right,58.834298995093015
