settings,model,acc,roc,f1,precision,recall,specificity
Eye_Reading,LSTM_median,0.69±0.05,0.68±0.05,0.57±0.09,0.69±0.09,0.53±0.11,0.83±0.05
Eye,LSTM_median,0.62±0.04,0.6±0.04,0.47±0.06,0.63±0.08,0.44±0.07,0.76±0.07
