,mean,std,median,min,max,total,count,90%ile,95%ile
PupilCalib,118.9090909090909,14.445444954109819,116.0,92.0,174.0,22236.0,187.0,138.0,151.39999999999998
CookieTheft,742.0427807486631,504.38107175972283,624.0,130.0,3573.0,138762.0,187.0,1263.4000000000003,1681.0999999999985
Reading,638.6684491978609,234.0894230598728,565.0,407.0,1948.0,119431.0,187.0,948.8000000000002,1103.7999999999993
Memory,781.7860962566845,585.2199067631983,597.0,110.0,3571.0,146194.0,187.0,1359.0,2139.199999999997
