,clf,strategy,mae
0,Dummy,all,64.93050004961167
1,Dummy,avg,64.70201165642865
2,Dummy,both_eyes,65.04474424620318
3,Dummy,left,65.12826673033881
4,Dummy,right,64.96122176206754
5,LinearReg,all,57.31743422271963
6,LinearReg,avg,57.46750581754942
7,LinearReg,both_eyes,57.415358051381325
8,LinearReg,left,59.396420139851045
9,LinearReg,right,58.75055795918534
10,Dummy,all,64.95719083604777
11,Dummy,avg,64.72953092663226
12,Dummy,both_eyes,65.07102079075551
13,Dummy,left,65.1465778294774
14,Dummy,right,64.99546375203366
15,LinearReg,all,57.34284470055875
16,LinearReg,avg,57.50301148179167
17,LinearReg,both_eyes,57.44078318328818
18,LinearReg,left,59.47238200184919
19,LinearReg,right,58.834298995093015
20,Dummy,all,64.79114036052688
21,Dummy,avg,64.55986754507008
22,Dummy,both_eyes,64.90677676825528
23,Dummy,left,64.96903665619868
24,Dummy,right,64.84451688031189
25,LinearReg,all,57.11043083731365
26,LinearReg,avg,57.22871560232409
27,LinearReg,both_eyes,57.21195378634023
28,LinearReg,left,59.17197813021303
29,LinearReg,right,58.55140473720828
30,Dummy,all,64.90485691210026
31,Dummy,avg,64.68003838414992
32,Dummy,both_eyes,65.01726617607542
33,Dummy,left,65.08825888236336
34,Dummy,right,64.9462734697875
35,LinearReg,all,57.226681935220974
36,LinearReg,avg,57.36579476114046
37,LinearReg,both_eyes,57.32692138776408
38,LinearReg,left,59.28266881971864
39,LinearReg,right,58.72072536331108
40,Dummy,all,65.0337010040593
41,Dummy,avg,64.80745209413058
42,Dummy,both_eyes,65.14682545902366
43,Dummy,left,65.2228665351428
44,Dummy,right,65.07078438290452
45,LinearReg,all,57.41475581427712
46,LinearReg,avg,57.46249125962312
47,LinearReg,both_eyes,57.51225475875482
48,LinearReg,left,59.46472171500547
49,LinearReg,right,58.787756277716085
50,Dummy,all,65.0786547626714
51,Dummy,avg,64.84862333864218
52,Dummy,both_eyes,65.19367047468602
53,Dummy,left,65.25620785316389
54,Dummy,right,65.13113309620816
55,LinearReg,all,57.49784957989667
56,LinearReg,avg,57.634751965249656
57,LinearReg,both_eyes,57.59632054488204
58,LinearReg,left,59.46168002759955
59,LinearReg,right,59.0188372476753
60,Dummy,all,64.92578345179031
61,Dummy,avg,64.69749358843745
62,Dummy,both_eyes,65.03992838346673
63,Dummy,left,65.10945831504672
64,Dummy,right,64.97039845188675
65,LinearReg,all,57.27073350735077
66,LinearReg,avg,57.325829569093706
67,LinearReg,both_eyes,57.37075383052255
68,LinearReg,left,59.353321773779
69,LinearReg,right,58.677792495805946
70,Dummy,all,64.84601793783203
71,Dummy,avg,64.61793584618444
72,Dummy,both_eyes,64.96005898365583
73,Dummy,left,65.01843607340071
74,Dummy,right,64.90168189391093
75,LinearReg,all,56.98924004795271
76,LinearReg,avg,57.04511269580424
77,LinearReg,both_eyes,57.09073146281901
78,LinearReg,left,59.04553395878524
79,LinearReg,right,58.519458658548366
80,Dummy,all,65.0012475950487
81,Dummy,avg,64.76878937059253
82,Dummy,both_eyes,65.1174767072768
83,Dummy,left,65.16014498193768
84,Dummy,right,65.07480843261591
85,LinearReg,all,57.37822447641245
86,LinearReg,avg,57.47944805859519
87,LinearReg,both_eyes,57.47988676546578
88,LinearReg,left,59.4680413695199
89,LinearReg,right,58.80335924661932
90,Dummy,all,65.02582617244582
91,Dummy,avg,64.80002568352526
92,Dummy,both_eyes,65.1387264169061
93,Dummy,left,65.21270026552992
94,Dummy,right,65.06475256828226
95,LinearReg,all,57.25798478228986
96,LinearReg,avg,57.373928495526535
97,LinearReg,both_eyes,57.35599339092986
98,LinearReg,left,59.404749104388486
99,LinearReg,right,58.72303849427881
