,clf,strategy,mae
0,LinearReg,all,203.2504580841455
1,LinearReg,avg,203.66523460069828
2,LinearReg,both_eyes,203.6021627637614
3,LinearReg,left,210.87737907214233
4,LinearReg,right,208.45815970597124
