,mae,clf,strategy
0,211.9511344869381,LinearReg,left
1,211.23155871592093,LinearReg,left
2,196.82909810970284,LinearReg,left
3,203.82267573538053,LinearReg,left
4,215.58525908383547,LinearReg,left
5,210.1423210759832,LinearReg,left
6,206.4260164314502,LinearReg,left
7,218.0235438004369,LinearReg,left
8,211.35834987713224,LinearReg,left
9,223.40383340464302,LinearReg,left
10,210.32033984502246,LinearReg,right
11,200.06222285487485,LinearReg,right
12,202.76466002916592,LinearReg,right
13,202.00525317765647,LinearReg,right
14,221.95553599822543,LinearReg,right
15,199.80842476558843,LinearReg,right
16,209.16196147752402,LinearReg,right
17,218.0482263219788,LinearReg,right
18,202.42119734939462,LinearReg,right
19,218.03377524028144,LinearReg,right
20,204.41868547164273,LinearReg,both_eyes
21,197.94311511796946,LinearReg,both_eyes
22,197.62418390337584,LinearReg,both_eyes
23,195.11074148815857,LinearReg,both_eyes
24,214.20000623576163,LinearReg,both_eyes
25,199.29258514762012,LinearReg,both_eyes
26,197.4920761909104,LinearReg,both_eyes
27,210.39871361068967,LinearReg,both_eyes
28,203.68965691477598,LinearReg,both_eyes
29,215.85186355670965,LinearReg,both_eyes
30,205.74833931805352,LinearReg,avg
31,201.12693982455573,LinearReg,avg
32,198.6355499541853,LinearReg,avg
33,193.54175338282917,LinearReg,avg
34,212.89042092118916,LinearReg,avg
35,200.0809147553067,LinearReg,avg
36,197.55828519188196,LinearReg,avg
37,211.18887649091494,LinearReg,avg
38,201.3455459123363,LinearReg,avg
39,214.5357202557301,LinearReg,avg
40,204.2277921362122,LinearReg,all
41,197.3579264921609,LinearReg,all
42,197.2084770166372,LinearReg,all
43,194.69541352637054,LinearReg,all
44,213.83946387845776,LinearReg,all
45,198.9846362853331,LinearReg,all
46,197.18272114429567,LinearReg,all
47,210.10051671843476,LinearReg,all
48,203.28773826789805,LinearReg,all
49,215.61989537565447,LinearReg,all
