settings,model,acc,roc,f1,precision,recall,specificity
Language,RandomForest,0.67±0.02,0.72±0.02,0.65±0.02,0.68±0.02,0.64±0.02,0.71±0.03
Language,GausNaiveBayes,0.67±0.02,0.73±0.01,0.68±0.03,0.65±0.02,0.74±0.04,0.6±0.02
Language,LogReg,0.7±0.01,0.75±0.01,0.69±0.02,0.7±0.02,0.7±0.03,0.7±0.02
NLP_Reading,RandomForest,0.73±0.02,0.8±0.01,0.71±0.02,0.76±0.02,0.68±0.03,0.78±0.02
NLP_Reading,GausNaiveBayes,0.67±0.01,0.79±0.01,0.56±0.02,0.79±0.04,0.46±0.02,0.87±0.02
NLP_Reading,LogReg,0.7±0.02,0.75±0.01,0.67±0.03,0.73±0.03,0.64±0.03,0.76±0.02
