settings,model,acc,roc,f1,precision,recall,specificity
Eye_Reading,GRU,0.78±0.03,0.76±0.03,0.7±0.04,0.81±0.05,0.65±0.06,0.88±0.02
Eye,GRU,0.73±0.02,0.69±0.03,0.59±0.07,0.76±0.05,0.52±0.08,0.86±0.04
