settings,model,acc,roc,f1,precision,recall,specificity
Eye_Reading,GRU,0.66±0.04,0.64±0.03,0.52±0.06,0.66±0.08,0.49±0.05,0.8±0.04
Eye,GRU,0.55±0.02,0.54±0.02,0.38±0.05,0.46±0.05,0.38±0.06,0.7±0.04
