,mean absolute error
1,191.43022803375084
2,187.93836058656962
3,187.5100437591921
4,192.78457232635648
5,195.7284534301966
6,195.08434540117733
7,197.61740178997454
8,197.26202050984358
9,195.97282604865475
10,195.3186665017628
11,192.53497842344532
12,191.47564847295627
13,191.0535286415407
14,190.59499700762177
15,190.80153937897984
16,190.48977259272095
17,189.62982688308682
18,189.81329029123293
19,189.97644558562962
