,mean absolute error
1,166.15849292381813
2,168.36010740423916
3,172.79961391952617
4,181.25876812211936
5,185.2169634703196
6,186.29736783327925
7,188.93531989688108
8,188.6396586501067
9,187.29289973641235
10,185.6781076507578
11,183.50043221825223
12,182.60985217606287
13,181.83842952261088
14,182.01049397734886
15,181.2828171142675
16,180.7269965201011
17,180.36497709434337
18,180.26293060078257
19,180.7262779816303
