,mean absolute error
1,237.72001322660248
2,215.0580283789036
3,192.18857086235568
4,222.24059132077664
5,241.79243658947954
6,246.63122320000974
7,244.1407806240216
8,249.3436794125226
9,218.00962853386636
10,247.19367791237255
11,220.20319159599308
12,218.14716849400392
13,244.92398947473794
14,216.7094715199831
15,210.69886922686942
16,211.59786916391022
17,237.2271513326732
18,210.33562365102716
19,205.04070670587316
