,mean absolute error
1,163.74867130304733
2,168.282486604848
3,169.85273544508618
4,174.31718656393133
5,178.01915329598344
6,178.1614438376598
7,181.7602590730333
8,182.35747420313268
9,181.42656756077858
10,180.81276032363712
11,179.15148910767877
12,178.1947843101504
13,178.20011787457804
14,178.4453297017481
15,178.57034658298042
16,178.19698556636217
17,177.4692237135148
18,177.64733994866802
19,177.86992862280044
