,mean absolute error
1,156.48322169527248
2,153.29261894531516
3,157.7643079122413
4,161.52488432854454
5,162.34347278982747
6,162.77866816869286
7,165.00962050356006
8,165.2656380241439
9,165.80380218034827
10,166.1910461434011
11,164.85006189858618
12,164.05776972323017
13,164.00463270812534
14,164.8842507220201
15,164.9942363138595
16,165.3479366512197
17,165.18737045803715
18,164.830180949024
19,165.16181708300888
