,mean absolute error
1,253.10830134504417
2,230.95479220651382
3,224.64028593773202
4,206.47333006272052
5,211.2463602778783
6,218.3784335496388
7,249.48341840395648
8,268.5458319586259
9,246.24015731034174
10,252.01464749023108
11,239.31664131558645
12,239.12844961399873
13,228.7593717420444
14,225.8597298771305
15,238.24159798419072
16,228.72834168785795
17,223.4438902851899
18,218.33647466811152
19,236.35718453174673
