,mean absolute error
1,173.544992632172
2,177.64663776520874
3,178.29042131952193
4,182.74681848053393
5,185.77837945982847
6,185.38102969240305
7,187.9367084683033
8,188.2799941932851
9,187.04321807444163
10,186.00337917277085
11,183.24453930869308
12,182.0953313317979
13,181.7930359947942
14,181.80753617794272
15,181.78649814930856
16,181.43465669899425
17,180.54458394379324
18,180.73498810231445
19,180.95385712548884
