,mean absolute error
1,220.7881453655597
2,232.68295867351895
3,206.04667176054295
4,219.49739442310502
5,246.79627844509523
6,286.376732195482
7,260.96589593362353
8,249.28237156327896
9,246.6883348676739
10,229.03056762401943
11,225.77173319972343
12,219.77099533056935
13,218.9450779332933
14,235.1611575623735
15,235.15093726676758
16,226.3735685892456
17,239.6898321437409
18,218.91931024637188
19,220.75455745805357
