,mean absolute error
1,221.0555329719964
2,230.40887956230398
3,242.54625497855392
4,250.51178030109287
5,253.20507990867583
6,255.48680833768282
7,256.83823314735935
8,258.1060167065507
9,257.64917259977653
10,259.6092847706849
11,257.6462872901491
12,255.0919058955119
13,257.43668329562723
14,256.30665438056565
15,256.6816973299045
16,255.48585113774962
17,254.43585788578625
18,254.82134678006668
19,254.79360170548998
