,mean absolute error
1,187.8943823856321
2,188.10501700058342
3,189.07868328799285
4,188.65394452656827
5,192.42585168653244
6,193.58199468087346
7,195.26050259332962
8,194.5975728085652
9,193.05878138725066
10,192.48831252114124
11,190.00453792710016
12,188.81352570720054
13,188.4706175901723
14,188.47574166240392
15,188.3067112889218
16,187.61240201735444
17,186.61343088243916
18,186.65811514862781
19,186.80055483130036
