,mean absolute error
1,207.51745709123756
2,222.72510336469918
3,229.3353582005719
4,234.04027585971735
5,243.50403348554036
6,240.72279426286167
7,245.60635536024955
8,248.17545715948881
9,251.12473773744378
10,249.7911231003217
11,245.74090427057635
12,248.08367893664658
13,245.38241921627332
14,247.89348047561757
15,247.35115910034378
16,245.7386939358625
17,246.24589611071443
18,248.05092246579767
19,246.4133933606966
