,mean absolute error
1,183.8758566696778
2,190.37691367265467
3,190.8798598345588
4,194.52041421581166
5,199.08506849315071
6,202.30628567196604
7,204.8397902793609
8,203.7188435130723
9,202.8749920637195
10,201.41749639562198
11,198.76351445214993
12,198.35972913482846
13,197.2263253792884
14,197.22710325695817
15,196.69575799747028
16,197.3440443519063
17,195.91698929044253
18,197.1018882864559
19,197.27439720129166
