,mean absolute error
1,221.3625940981632
2,238.14068113772458
3,245.7586848958333
4,253.43153973368794
5,261.15302511415524
6,256.6392206477733
7,265.76268659887614
8,266.98741473396996
9,265.69015911955995
10,266.15722815995093
11,264.00271239330084
12,261.91497586527623
13,262.0766988454778
14,262.870561817215
15,261.0078072963972
16,261.3191857870791
17,262.93387469817696
18,262.1571421146683
19,261.80612725541414
