settings,model,acc,roc,f1,precision,recall,specificity
Eye_Reading,GRU,0.83±0.03,0.83±0.03,0.8±0.03,0.82±0.05,0.81±0.03,0.85±0.05
Eye,GRU,0.78±0.03,0.77±0.03,0.74±0.04,0.76±0.04,0.74±0.06,0.8±0.04
