,clf,strategy,mae
0,Dummy,all,230.56954291840196
1,Dummy,avg,229.75907897610824
2,Dummy,both_eyes,230.9747748895489
3,Dummy,left,231.21462940921634
4,Dummy,right,230.73492036988154
5,LinearReg,all,203.33330615871915
6,LinearReg,avg,203.7174637888972
7,LinearReg,both_eyes,203.68782572015354
8,LinearReg,left,210.69052303805
9,LinearReg,right,208.51396647134183
