,clf,strategy,mae
0,Dummy,all,230.50194739674595
1,Dummy,avg,229.69087244884344
2,Dummy,both_eyes,230.9074848706972
3,Dummy,left,231.20406401521865
4,Dummy,right,230.61090572617576
5,LinearReg,all,203.46892334351256
6,LinearReg,avg,203.99726762068505
7,LinearReg,both_eyes,203.8130040310479
8,LinearReg,left,210.8474677732728
9,LinearReg,right,208.5561022838245
10,Dummy,all,230.5969502474281
11,Dummy,avg,229.7887573584722
12,Dummy,both_eyes,231.0010466919061
13,Dummy,left,231.2693595559636
14,Dummy,right,230.73273382784868
15,LinearReg,all,203.55577694763528
16,LinearReg,avg,204.12361171796755
17,LinearReg,both_eyes,203.9034752000552
18,LinearReg,left,211.11769111780828
19,LinearReg,right,208.85345201253256
20,Dummy,all,230.0074144009402
21,Dummy,avg,229.1864269652511
22,Dummy,both_eyes,230.4179081187848
23,Dummy,left,230.63908594291047
24,Dummy,right,230.19673029465903
25,LinearReg,all,202.72920156563876
26,LinearReg,avg,203.14969637424852
27,LinearReg,both_eyes,203.0908458032941
28,LinearReg,left,210.05099169894245
29,LinearReg,right,207.8487900577175
30,Dummy,all,230.41104343708287
31,Dummy,avg,229.61301343398608
32,Dummy,both_eyes,230.81005843863136
33,Dummy,left,231.06223050280795
34,Dummy,right,230.55788637445485
35,LinearReg,all,203.1405459532085
36,LinearReg,avg,203.63636929732948
37,LinearReg,both_eyes,203.499082004337
38,LinearReg,left,210.44383930667985
39,LinearReg,right,208.45018460783703
40,Dummy,all,230.8686908220885
41,Dummy,avg,230.0655462844393
42,Dummy,both_eyes,231.27026309091315
43,Dummy,left,231.5402823320292
44,Dummy,right,231.0002438497971
45,LinearReg,all,203.8093232310785
46,LinearReg,avg,203.97970395948929
47,LinearReg,both_eyes,204.1572404699411
48,LinearReg,left,211.09030199375
49,LinearReg,right,208.6881839846219
50,Dummy,all,231.0280272043649
51,Dummy,avg,230.2115742477924
52,Dummy,both_eyes,231.4362536826512
53,Dummy,left,231.6583244702105
54,Dummy,right,231.2141828950918
55,LinearReg,all,204.09670262843525
56,LinearReg,avg,204.5913022066516
57,LinearReg,both_eyes,204.45560677711225
58,LinearReg,left,211.07927116657388
59,LinearReg,right,209.50868044248347
60,Dummy,all,230.48542152817413
61,Dummy,avg,229.67504005524384
62,Dummy,both_eyes,230.8906122646392
63,Dummy,left,231.1374497917037
64,Dummy,right,230.6437747375749
65,LinearReg,all,203.29847217930305
66,LinearReg,avg,203.49413019326693
67,LinearReg,both_eyes,203.65439389187196
68,LinearReg,left,210.69447940489977
69,LinearReg,right,208.29736840008528
70,Dummy,all,230.20244649894727
71,Dummy,avg,229.39279459896383
72,Dummy,both_eyes,230.60727244893897
73,Dummy,left,230.8145539648086
74,Dummy,right,230.3999909330693
75,LinearReg,all,202.30059565035828
76,LinearReg,avg,202.4978022855064
77,LinearReg,both_eyes,202.66061923463548
78,LinearReg,left,209.6020796462728
79,LinearReg,right,207.73568676936844
80,Dummy,all,230.7530591199836
81,Dummy,avg,229.92788092375383
82,Dummy,both_eyes,231.16564821809848
83,Dummy,left,231.31704842612905
84,Dummy,right,231.0142480100679
85,LinearReg,all,203.68306200387616
86,LinearReg,avg,204.0395196331289
87,LinearReg,both_eyes,204.04182702547905
88,LinearReg,left,211.101729200158
89,LinearReg,right,208.74305644897623
90,Dummy,all,230.84042852826465
91,Dummy,avg,230.03888344433625
92,Dummy,both_eyes,231.2412010702289
93,Dummy,left,231.5038950903816
94,Dummy,right,230.97850705007625
95,LinearReg,all,203.2504580841455
96,LinearReg,avg,203.66523460069828
97,LinearReg,both_eyes,203.6021627637614
98,LinearReg,left,210.87737907214236
99,LinearReg,right,208.45815970597124
