,roc,acc,f1,prec,recall,spec,test_loss,test_acc,n_train_hc,n_train_e,n_test_hc,n_test_e,n_train_diff,n_test_diff
0,0.5625,0.5625,0.2222222222222222,1.0,0.125,1.0,0.7154654860496521,0.5625,81,60,8,8,21,0
1,0.6587301587301587,0.6875,0.5454545454545454,0.75,0.42857142857142855,0.8888888888888888,0.6569129228591919,0.6875,80,61,9,7,19,2
2,0.5833333333333333,0.5625,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.5,0.6607916951179504,0.5625,79,62,10,6,17,4
3,0.5,0.5,0.5555555555555556,0.625,0.5,0.5,0.7717081308364868,0.5,83,58,6,10,25,-4
4,0.5,0.625,0.0,0.0,0.0,1.0,0.6643902659416199,0.625,79,62,10,6,17,4
5,0.5,0.5,0.0,0.0,0.0,1.0,0.6981300115585327,0.5,81,60,8,8,21,0
6,0.5,0.5625,0.0,0.0,0.0,1.0,0.6857894659042358,0.5625,80,61,9,7,19,2
7,0.5,0.6,0.0,0.0,0.0,1.0,0.6801031827926636,0.6000000238418579,80,62,9,6,18,3
8,0.5,0.6,0.0,0.0,0.0,1.0,0.6798622012138367,0.6000000238418579,80,62,9,6,18,3
9,0.5,0.7333333333333333,0.0,0.0,0.0,1.0,0.6322630643844604,0.7333333492279053,78,64,11,4,14,7
