settings,model,acc,roc,f1,precision,recall,specificity
Eye_Reading,LSTM_median,0.65±0.05,0.65±0.04,0.56±0.08,0.61±0.05,0.58±0.08,0.72±0.05
Eye,LSTM_median,0.61±0.04,0.59±0.05,0.5±0.07,0.57±0.09,0.53±0.1,0.66±0.1
