,mean,std,median,min,max,total,count,90%ile,95%ile
CookieTheft,9135.688524590163,6350.747053532817,7578.0,1552.0,42871.0,1671831.0,183.0,15771.600000000004,20730.0
Reading,7670.338797814207,2843.991769636911,6779.0,4873.0,23400.0,1403672.0,183.0,11484.200000000003,13385.300000000005
