,mean,std,median,min,max,total,count,90%ile,95%ile
CookieTheft,10014.510869565218,13470.298705569716,7629.5,1552.0,170839.0,1842670.0,184.0,15871.1,21692.849999999995
Reading,7757.092391304348,3069.4662609863312,6791.5,4873.0,23633.0,1427305.0,184.0,11740.300000000005,14215.099999999995
