,mae,clf,strategy
0,66.53566287146647,Dummy,left
1,66.81234106602379,Dummy,left
2,62.82061354754134,Dummy,left
3,69.16565050841538,Dummy,left
4,66.03279120528009,Dummy,left
5,63.60744777923115,Dummy,left
6,62.67298285699758,Dummy,left
7,65.35224384580113,Dummy,left
8,64.48862003424713,Dummy,left
9,62.69600701900299,Dummy,left
10,64.71123008887886,LinearReg,left
11,60.371290167474385,LinearReg,left
12,58.14981119306498,LinearReg,left
13,58.901369344974,LinearReg,left
14,57.58441951847599,LinearReg,left
15,58.765944397719466,LinearReg,left
16,58.49020227832749,LinearReg,left
17,59.40150735650134,LinearReg,left
18,58.5893943138046,LinearReg,left
19,55.4901709286314,LinearReg,left
20,65.90898888756868,Dummy,right
21,66.85994625466532,Dummy,right
22,62.224853634049836,Dummy,right
23,69.37638709064342,Dummy,right
24,66.07295322423892,Dummy,right
25,63.62896445614281,Dummy,right
26,61.8756107977443,Dummy,right
27,65.24441410128762,Dummy,right
28,64.42326319592192,Dummy,right
29,63.40143729684659,Dummy,right
30,61.819453975394055,LinearReg,right
31,63.39692748111975,LinearReg,right
32,58.60377099097242,LinearReg,right
33,60.82949789708992,LinearReg,right
34,57.11381302133603,LinearReg,right
35,55.1094420006034,LinearReg,right
36,54.860606615150935,LinearReg,right
37,60.04005893585658,LinearReg,right
38,57.751547005445616,LinearReg,right
39,55.66946866251499,LinearReg,right
40,66.22232587951757,Dummy,both_eyes
41,66.83614366034456,Dummy,both_eyes
42,62.52273359079559,Dummy,both_eyes
43,69.2710187995294,Dummy,both_eyes
44,66.0528722147595,Dummy,both_eyes
45,63.618206117686974,Dummy,both_eyes
46,62.27429682737094,Dummy,both_eyes
47,65.29832897354437,Dummy,both_eyes
48,64.45594161508453,Dummy,both_eyes
49,63.048722157924786,Dummy,both_eyes
50,62.70239727234042,LinearReg,both_eyes
51,61.064037628014496,LinearReg,both_eyes
52,56.168115539727175,LinearReg,both_eyes
53,57.364679411231485,LinearReg,both_eyes
54,55.45197259276782,LinearReg,both_eyes
55,55.13689655263416,LinearReg,both_eyes
56,55.1450765186839,LinearReg,both_eyes
57,56.45522014995266,LinearReg,both_eyes
58,57.772645212921375,LinearReg,both_eyes
59,53.6462737499166,LinearReg,both_eyes
60,65.84441102619402,Dummy,avg
61,66.49708671814098,Dummy,avg
62,62.29606556814217,Dummy,avg
63,68.96653145348759,Dummy,avg
64,65.61207749578085,Dummy,avg
65,63.08935284070056,Dummy,avg
66,61.998396035541035,Dummy,avg
67,65.0637083436514,Dummy,avg
68,64.11661020954442,Dummy,avg
69,62.695118770661296,Dummy,avg
70,62.24567272366973,LinearReg,avg
71,61.060318729856995,LinearReg,avg
72,56.86008669662816,LinearReg,avg
73,57.627616610370396,LinearReg,avg
74,54.63647773732505,LinearReg,avg
75,55.32266498356543,LinearReg,avg
76,54.5028740068357,LinearReg,avg
77,57.64263248056638,LinearReg,avg
78,57.15028674793997,LinearReg,avg
79,53.402496241284496,LinearReg,avg
80,66.09635426174306,Dummy,all
81,66.72312467961002,Dummy,all
82,62.44717758324445,Dummy,all
83,69.16952301751546,Dummy,all
84,65.90594064176662,Dummy,all
85,63.441921692024835,Dummy,all
86,62.18232989676096,Dummy,all
87,65.22012209691339,Dummy,all
88,64.34283114657116,Dummy,all
89,62.93085436217029,Dummy,all
90,62.621430404220725,LinearReg,all
91,60.96647134340518,LinearReg,all
92,56.1018530568759,LinearReg,all
93,57.28101788855395,LinearReg,all
94,55.307998191480515,LinearReg,all
95,54.963360338104174,LinearReg,all
96,55.068911959382056,LinearReg,all
97,56.38260341008208,LinearReg,all
98,57.66924199231645,LinearReg,all
99,53.52951189510603,LinearReg,all
