,mae,clf,strategy
0,214.28805719255803,LinearReg,left
1,203.96415943265913,LinearReg,left
2,215.4883303921633,LinearReg,left
3,210.9159903518675,LinearReg,left
4,204.1136126402685,LinearReg,left
5,212.92311384826485,LinearReg,left
6,217.92415209993328,LinearReg,left
7,202.6617711761186,LinearReg,left
8,208.9162027211646,LinearReg,left
9,213.24300321180027,LinearReg,left
10,207.88649659925557,LinearReg,right
11,205.38786677406642,LinearReg,right
12,204.02835577411997,LinearReg,right
13,221.08479303653905,LinearReg,right
14,201.11783735616004,LinearReg,right
15,218.0869360110246,LinearReg,right
16,214.42525154815414,LinearReg,right
17,206.4880998969492,LinearReg,right
18,189.19882336711618,LinearReg,right
19,216.7973857149851,LinearReg,right
20,202.64807747699587,LinearReg,both_eyes
21,197.23917791474267,LinearReg,both_eyes
22,206.6103072749631,LinearReg,both_eyes
23,212.37326342617592,LinearReg,both_eyes
24,197.58947090735947,LinearReg,both_eyes
25,209.25518071326303,LinearReg,both_eyes
26,211.2432091590917,LinearReg,both_eyes
27,199.3849800931239,LinearReg,both_eyes
28,192.14366007610863,LinearReg,both_eyes
29,206.50349300154565,LinearReg,both_eyes
30,204.64251246985765,LinearReg,avg
31,197.88228371898157,LinearReg,avg
32,206.9245780122488,LinearReg,avg
33,210.21049261583292,LinearReg,avg
34,197.45579138684855,LinearReg,avg
35,209.974323698258,LinearReg,avg
36,211.46457490426567,LinearReg,avg
37,199.47966394702286,LinearReg,avg
38,190.7874851023767,LinearReg,avg
39,207.54198711760233,LinearReg,avg
40,202.3157533661763,LinearReg,all
41,196.944148297507,LinearReg,all
42,205.93827895045902,LinearReg,all
43,212.1351715331391,LinearReg,all
44,197.3192192190969,LinearReg,all
45,208.94069793624405,LinearReg,all
46,210.80802393736556,LinearReg,all
47,199.0657720224615,LinearReg,all
48,191.81775260251433,LinearReg,all
49,206.12064166712102,LinearReg,all
