settings,model,acc,roc,f1,precision,recall,specificity
Eye,LSTM_median,0.53±0.03,0.5±0.02,0.2±0.05,0.31±0.1,0.17±0.04,0.83±0.05
Audio,LSTM_median,0.58±0.02,0.56±0.03,0.32±0.07,0.49±0.1,0.28±0.09,0.83±0.06
Eye_Reading,LSTM_median,0.56±0.02,0.51±0.02,0.12±0.04,0.26±0.1,0.1±0.03,0.91±0.04
Basic,LSTM_median,0.55±0.02,0.5±0.02,0.1±0.06,0.17±0.09,0.08±0.06,0.92±0.05
