settings,model,acc,roc,f1,precision,recall,specificity
Eye_Reading,LSTM_median,0.7±0.03,0.69±0.03,0.61±0.05,0.68±0.09,0.59±0.05,0.79±0.06
Eye,LSTM_median,0.63±0.04,0.62±0.04,0.48±0.06,0.6±0.1,0.46±0.07,0.77±0.07
