,group1,group2,meandiff,p-adj,lower,upper,reject
0,LinearReg / all,LinearReg / avg,0.108,0.4945,-0.0818,0.2979,False
1,LinearReg / all,LinearReg / both_eyes,0.0995,0.5658,-0.0904,0.2893,False
2,LinearReg / all,LinearReg / left,2.0715,0.001,1.8817,2.2614,True
3,LinearReg / all,LinearReg / right,1.4581,0.001,1.2683,1.6479,True
4,LinearReg / avg,LinearReg / both_eyes,-0.0086,0.9,-0.1984,0.1813,False
5,LinearReg / avg,LinearReg / left,1.9635,0.001,1.7737,2.1533,True
6,LinearReg / avg,LinearReg / right,1.3501,0.001,1.1602,1.5399,True
7,LinearReg / both_eyes,LinearReg / left,1.9721,0.001,1.7822,2.1619,True
8,LinearReg / both_eyes,LinearReg / right,1.3586,0.001,1.1688,1.5485,True
9,LinearReg / left,LinearReg / right,-0.6134,0.001,-0.8033,-0.4236,True
