,strat,new,old,effect_t
0,left,new,old,-0.6086759459384355
0,right,new,old,-0.5086905316028834
0,both_eyes,new,old,-0.5295741317254025
0,avg,new,old,-0.555767628893741
0,all,new,old,-0.5281191937807628
