,mae,clf,strategy
0,64.60748178056286,Dummy,left
1,63.91698771988614,Dummy,left
2,66.66896833868063,Dummy,left
3,65.61171155090767,Dummy,left
4,63.48137347919696,Dummy,left
5,64.18370199144034,Dummy,left
6,68.53064178795444,Dummy,left
7,64.46878303170615,Dummy,left
8,62.50056563507075,Dummy,left
9,66.9123735082276,Dummy,left
10,60.36307050351428,LinearReg,left
11,57.45808105837749,LinearReg,left
12,60.707452562868355,LinearReg,left
13,59.41622594344765,LinearReg,left
14,57.500745156680196,LinearReg,left
15,59.97966319238729,LinearReg,left
16,61.38615623474364,LinearReg,left
17,57.09062247793358,LinearReg,left
18,58.85044332413071,LinearReg,left
19,60.074227743103215,LinearReg,left
20,63.92506295437878,Dummy,right
21,63.94020943808102,Dummy,right
22,66.24277669086645,Dummy,right
23,66.12878870488947,Dummy,right
24,63.28420955907226,Dummy,right
25,64.56236009359628,Dummy,right
26,68.12203635019583,Dummy,right
27,63.83303022450819,Dummy,right
28,62.446259649791884,Dummy,right
29,66.9780010324948,Dummy,right
30,58.5583937945952,LinearReg,right
31,57.85892241531864,LinearReg,right
32,57.478343147245454,LinearReg,right
33,62.27850667148411,LinearReg,right
34,56.6574842302457,LinearReg,right
35,61.43315582445444,LinearReg,right
36,60.40152843989306,LinearReg,right
37,58.16771523428483,LinearReg,right
38,53.29837063220208,LinearReg,right
39,61.07483324338732,LinearReg,right
40,64.26627236747082,Dummy,both_eyes
41,63.92859857898358,Dummy,both_eyes
42,66.45587251477355,Dummy,both_eyes
43,65.87025012789857,Dummy,both_eyes
44,63.382791519134614,Dummy,both_eyes
45,64.3730310425183,Dummy,both_eyes
46,68.32633906907513,Dummy,both_eyes
47,64.15090662810718,Dummy,both_eyes
48,62.47341264243132,Dummy,both_eyes
49,66.9451872703612,Dummy,both_eyes
50,57.08430544835036,LinearReg,both_eyes
51,55.564612476944795,LinearReg,both_eyes
52,58.2064749310663,LinearReg,both_eyes
53,59.82648889425336,LinearReg,both_eyes
54,55.663949240638296,LinearReg,both_eyes
55,58.9466339597239,LinearReg,both_eyes
56,59.50524506708642,LinearReg,both_eyes
57,56.16752840138857,LinearReg,both_eyes
58,54.12757354331731,LinearReg,both_eyes
59,58.17640191487157,LinearReg,both_eyes
60,63.91123606978485,Dummy,avg
61,63.64088940994929,Dummy,avg
62,65.88840715723674,Dummy,avg
63,65.66371261643832,Dummy,avg
64,63.14658012077054,Dummy,avg
65,64.03994344457607,Dummy,avg
66,67.92270476013798,Dummy,avg
67,63.881611522634685,Dummy,avg
68,62.22007835909197,Dummy,avg
69,66.48522038087886,Dummy,avg
70,57.64669956076424,LinearReg,avg
71,55.74559221503435,LinearReg,avg
72,58.29539785824106,LinearReg,avg
73,59.21681276250098,LinearReg,avg
74,55.6265844438216,LinearReg,avg
75,59.149025439115746,LinearReg,avg
76,59.5677025735179,LinearReg,avg
77,56.19467093170613,LinearReg,avg
78,53.74653341751679,LinearReg,avg
79,58.46892840918572,LinearReg,avg
80,64.14792693490882,Dummy,all
81,63.83269552263881,Dummy,all
82,66.26671739559461,Dummy,all
83,65.80140429074515,Dummy,all
84,63.30405438634659,Dummy,all
85,64.26200184320423,Dummy,all
86,68.19179429942942,Dummy,all
87,64.06114159294968,Dummy,all
88,62.388967881318194,Dummy,all
89,66.79186497386708,Dummy,all
90,56.992314836377595,LinearReg,all
91,55.481458848679125,LinearReg,all
92,58.017222193948236,LinearReg,all
93,59.76007780788439,LinearReg,all
94,55.58927373650645,LinearReg,all
95,58.85930001918579,LinearReg,all
96,59.383755625278866,LinearReg,all
97,56.077452391070516,LinearReg,all
98,54.0350745379886,LinearReg,all
99,58.07088935529015,LinearReg,all
