settings,model,acc,roc,f1,precision,recall,specificity
Eye,LSTM_median,0.55±0.02,0.52±0.02,0.24±0.06,0.4±0.09,0.2±0.05,0.85±0.05
Audio,LSTM_median,0.58±0.03,0.56±0.02,0.33±0.06,0.5±0.08,0.3±0.07,0.83±0.07
Eye_Reading,LSTM_median,0.55±0.02,0.51±0.02,0.18±0.06,0.31±0.09,0.16±0.06,0.87±0.05
Basic,LSTM_median,0.55±0.01,0.5±0.01,0.06±0.03,0.12±0.05,0.05±0.03,0.96±0.03
