settings,model,acc,roc,f1,precision,recall,specificity
Eye_Reading,GRU,0.71±0.04,0.7±0.03,0.62±0.05,0.74±0.07,0.59±0.05,0.81±0.06
Eye,GRU,0.64±0.03,0.62±0.04,0.52±0.06,0.6±0.06,0.51±0.06,0.74±0.04
