settings,model,acc,roc,f1,precision,recall,specificity
Eye,LSTM,0.53±0.05,0.52±0.04,0.28±0.08,0.35±0.12,0.28±0.06,0.76±0.05
Audio,LSTM,0.61±0.02,0.58±0.02,0.36±0.06,0.64±0.08,0.28±0.07,0.88±0.05
Eye_Reading,LSTM,0.6±0.01,0.5±0.01,0.01±0.01,0.04±0.05,0.01±0.01,0.99±0.01
Basic,LSTM,0.58±0.01,0.5±0.01,0.0±0.0,0.0±0.0,0.0±0.0,0.99±0.02
