,mean,std,median,min,max,total,count,90%ile,95%ile
PupilCalib,115.21301775147928,8.602439230570665,115.0,92.0,138.0,19471.0,169.0,127.0,133.0
CookieTheft,615.9289940828403,269.2946424005041,582.0,130.0,1288.0,104092.0,169.0,972.8000000000002,1104.3999999999999
Reading,575.7337278106509,109.79698904461448,554.0,407.0,962.0,97299.0,169.0,702.4000000000001,791.1999999999998
Memory,629.5621301775147,307.36022076943965,545.0,110.0,1368.0,106396.0,169.0,1105.8000000000004,1282.6
