,mean,std,median,min,max,total,count,90%ile,95%ile
PupilCalib,119.30851063829788,15.407601464478,116.0,92.0,194.0,22430.0,188.0,138.3,152.65
CookieTheft,813.7340425531914,1101.8889214544647,625.0,130.0,14220.0,152982.0,188.0,1298.2000000000003,1726.2
Reading,645.7553191489362,252.7809659112525,566.5,407.0,1971.0,121402.0,188.0,969.5000000000002,1169.1500000000003
Memory,798.5372340425532,627.0031420200283,598.5,110.0,3931.0,150125.0,188.0,1374.0000000000002,2245.0
