,mean,std,min,max,total,count
PupilCalib,117.68152866242038,14.607405074602047,91.0,193.0,18476.0,157.0
CookieTheft,747.3885350318471,476.4426787249362,190.0,3572.0,117340.0,157.0
Reading,649.3653846153846,260.4451092948787,414.0,1965.0,101301.0,156.0
Memory,811.8461538461538,651.6601398503843,108.0,3919.0,126648.0,156.0
