,mean,std,min,max,total,count
PupilCalib,0.0,0.0,0.0,0.0,0.0,188.0
CookieTheft,0.000323631812129203,0.00270916901267146,0.0,0.03263707571801567,0.06084278068029016,188.0
Reading,0.0016662622647580282,0.009110795241148457,0.0,0.08690614136732329,0.3132573057745093,188.0
Memory,0.0041275544765336705,0.020929609888857524,0.0,0.175,0.7759802415883301,188.0
