,mae,clf,strategy
0,216.24693958772488,LinearReg,left
1,215.71704756324993,LinearReg,left
2,209.75551964342654,LinearReg,left
3,205.4482391863009,LinearReg,left
4,210.85758985206198,LinearReg,left
5,202.4602579816136,LinearReg,left
6,199.15531782925132,LinearReg,left
7,230.63374229126484,LinearReg,left
8,219.13159457486648,LinearReg,left
9,201.49677142774,LinearReg,left
10,213.66003363535424,LinearReg,right
11,194.8581025119154,LinearReg,right
12,207.78811676334362,LinearReg,right
13,203.5808915870308,LinearReg,right
14,213.0275924277471,LinearReg,right
15,199.9874663107628,LinearReg,right
16,200.0529744716992,LinearReg,right
17,224.36258497796962,LinearReg,right
18,211.95775875907083,LinearReg,right
19,217.60631840132564,LinearReg,right
20,207.93713655932436,LinearReg,both_eyes
21,201.0262083219385,LinearReg,both_eyes
22,199.83097474690044,LinearReg,both_eyes
23,196.68089561760524,LinearReg,both_eyes
24,207.71628626379191,LinearReg,both_eyes
25,197.3118741889639,LinearReg,both_eyes
26,194.0165621772392,LinearReg,both_eyes
27,223.32945831936414,LinearReg,both_eyes
28,210.83261302873285,LinearReg,both_eyes
29,202.89039547555006,LinearReg,both_eyes
30,211.22620630158485,LinearReg,avg
31,198.2135799863809,LinearReg,avg
32,199.85435433932713,LinearReg,avg
33,198.27478771517625,LinearReg,avg
34,207.29263277807314,LinearReg,avg
35,196.32719527550054,LinearReg,avg
36,193.62508088430369,LinearReg,avg
37,222.09846497667564,LinearReg,avg
38,208.96466693913658,LinearReg,avg
39,203.92007039873408,LinearReg,avg
40,207.26337232942433,LinearReg,all
41,200.67383162143804,LinearReg,all
42,199.3793235899337,LinearReg,all
43,196.4109010575081,LinearReg,all
44,207.40164987535613,LinearReg,all
45,196.97338095383114,LinearReg,all
46,193.67122020872878,LinearReg,all
47,223.14995118204527,LinearReg,all
48,210.53469034579734,LinearReg,all
49,202.6349111467223,LinearReg,all
