,clf,strat1,strat2,effect_t
0,LinearReg,left,right,-4.2739573271973565
0,LinearReg,left,both_eyes,-13.51906849956959
0,LinearReg,left,avg,-12.701542182409804
0,LinearReg,left,all,-14.169347650233568
0,LinearReg,right,left,4.2739573271973565
0,LinearReg,right,both_eyes,-9.400245848858122
0,LinearReg,right,avg,-8.806204742153254
0,LinearReg,right,all,-10.066083808545192
0,LinearReg,both_eyes,left,13.51906849956959
0,LinearReg,both_eyes,right,9.400245848858122
0,LinearReg,both_eyes,avg,0.05361049370701516
0,LinearReg,both_eyes,all,-0.6774674645146926
0,LinearReg,avg,left,12.701542182409804
0,LinearReg,avg,right,8.806204742153254
0,LinearReg,avg,both_eyes,-0.05361049370701516
0,LinearReg,avg,all,-0.6934124094043386
0,LinearReg,all,left,14.169347650233568
0,LinearReg,all,right,10.066083808545192
0,LinearReg,all,both_eyes,0.6774674645146926
0,LinearReg,all,avg,0.6934124094043386
