,strat,new,old,effect_t
0,left,new,old,-2.2911189643259346
0,right,new,old,-1.6938334466916556
0,both_eyes,new,old,-2.0142740208198133
0,avg,new,old,-2.121643910464197
0,all,new,old,-1.3996210993900338
