settings,model,acc,roc,f1,precision,recall,specificity
Eye_Reading,GRU,0.72±0.03,0.7±0.03,0.63±0.04,0.72±0.04,0.58±0.05,0.82±0.04
Eye,GRU,0.64±0.03,0.63±0.03,0.56±0.05,0.61±0.04,0.55±0.06,0.71±0.04
