,1,metric,model,method
0,0.4705882352941176,acc,LSTM_stateful,end_to_end stateful
1,0.6470588235294118,acc,LSTM_stateful,end_to_end stateful
2,0.8235294117647058,acc,LSTM_stateful,end_to_end stateful
3,0.8823529411764706,acc,LSTM_stateful,end_to_end stateful
4,0.8823529411764706,acc,LSTM_stateful,end_to_end stateful
5,0.4499999999999999,roc,LSTM_stateful,end_to_end stateful
6,0.6893939393939394,roc,LSTM_stateful,end_to_end stateful
7,0.8263888888888888,roc,LSTM_stateful,end_to_end stateful
8,0.9090909090909092,roc,LSTM_stateful,end_to_end stateful
9,0.8712121212121212,roc,LSTM_stateful,end_to_end stateful
10,0.3076923076923077,fms,LSTM_stateful,end_to_end stateful
11,0.625,fms,LSTM_stateful,end_to_end stateful
12,0.823529411764706,fms,LSTM_stateful,end_to_end stateful
13,0.8571428571428571,fms,LSTM_stateful,end_to_end stateful
14,0.8333333333333334,fms,LSTM_stateful,end_to_end stateful
15,0.25,precision,LSTM_stateful,end_to_end stateful
16,0.5,precision,LSTM_stateful,end_to_end stateful
17,0.7777777777777778,precision,LSTM_stateful,end_to_end stateful
18,0.75,precision,LSTM_stateful,end_to_end stateful
19,0.8333333333333334,precision,LSTM_stateful,end_to_end stateful
20,0.4,recall,LSTM_stateful,end_to_end stateful
21,0.8333333333333334,recall,LSTM_stateful,end_to_end stateful
22,0.875,recall,LSTM_stateful,end_to_end stateful
23,1.0,recall,LSTM_stateful,end_to_end stateful
24,0.8333333333333334,recall,LSTM_stateful,end_to_end stateful
25,0.5,specificity,LSTM_stateful,end_to_end stateful
26,0.5454545454545454,specificity,LSTM_stateful,end_to_end stateful
27,0.7777777777777778,specificity,LSTM_stateful,end_to_end stateful
28,0.8181818181818182,specificity,LSTM_stateful,end_to_end stateful
29,0.9090909090909092,specificity,LSTM_stateful,end_to_end stateful
