,mae,clf,strategy
0,224.98326430685353,LinearReg,left
1,205.09568610677547,LinearReg,left
2,221.91376386863521,LinearReg,left
3,208.48727097517457,LinearReg,left
4,213.5712440022348,LinearReg,left
5,188.91400887756595,LinearReg,left
6,200.8329612314311,LinearReg,left
7,208.8240865398152,LinearReg,left
8,232.56819697391444,LinearReg,left
9,205.60222878333832,LinearReg,left
10,219.30188373971973,LinearReg,right
11,200.6179475334578,LinearReg,right
12,232.25505927858237,LinearReg,right
13,205.34640128103743,LinearReg,right
14,212.19350902117242,LinearReg,right
15,192.07818070521427,LinearReg,right
16,197.0774675791949,LinearReg,right
17,211.10632328832168,LinearReg,right
18,232.6383749570603,LinearReg,right
19,192.47165704107357,LinearReg,right
20,214.02705528963492,LinearReg,both_eyes
21,199.6054073993756,LinearReg,both_eyes
22,225.85886346729842,LinearReg,both_eyes
23,200.91484306105502,LinearReg,both_eyes
24,208.57357595034185,LinearReg,both_eyes
25,180.51960871333586,LinearReg,both_eyes
26,189.48209056283207,LinearReg,both_eyes
27,204.26667933298162,LinearReg,both_eyes
28,227.84241741045156,LinearReg,both_eyes
29,193.46552658381523,LinearReg,both_eyes
30,213.84096151397978,LinearReg,avg
31,200.6976438171627,LinearReg,avg
32,224.68761164108423,LinearReg,avg
33,200.23392022532494,LinearReg,avg
34,208.76160872144868,LinearReg,avg
35,181.31073186134827,LinearReg,avg
36,190.8496101993843,LinearReg,avg
37,204.8397618099665,LinearReg,avg
38,228.32557413744692,LinearReg,avg
39,192.3655981393694,LinearReg,avg
40,213.7376766735996,LinearReg,all
41,199.01628642071384,LinearReg,all
42,225.37736508316718,LinearReg,all
43,200.62187564658493,LinearReg,all
44,208.15851286703503,LinearReg,all
45,180.17003190220115,LinearReg,all
46,189.20859051584895,LinearReg,all
47,203.93856407954559,LinearReg,all
48,227.62937167988025,LinearReg,all
49,193.10875141577625,LinearReg,all
